FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
13233,0.6358247,1.6451081,1.7863251,-1.2518402
13235,1.4081584,2.534962,3.7762527,-1.7679528
13237,0.583072,1.5502348,1.5414912,-1.1510514
13241,1.5774224,2.8821223,3.543848,-1.9556497
13245,0.67167425,3.8120973,4.111755,-2.4015107
13247,0.95187974,1.6964827,2.5320468,-0.47059128
13251,0.9285562,1.9325635,3.1879544,-1.1557325
13253,1.0747918,2.3726864,4.2184043,-2.5156555
13255,1.0579957,2.8501115,3.4013557,-1.6610395
13257,1.3365331,2.4837632,3.088414,-2.101339
13261,1.190262,3.933662,5.418361,-2.6378055
13267,0.7457954,2.0461402,2.3721414,-1.5979432
13271,0.22948934,2.1041412,3.7669058,-2.3841193
13273,1.3576396,3.127017,5.658442,-2.5125773
13275,1.6922363,3.9365356,4.6458573,-2.1197798
13277,1.5090485,3.2356882,4.4600945,-2.311309
13279,0.81314015,3.2012239,3.7293377,-2.6705556
13285,1.0130955,3.276797,4.326633,-2.206147
13287,1.2785864,2.1701565,3.7045145,-2.3223863
13291,1.4529926,3.419241,3.760079,-2.0164144
13293,0.52973557,2.2125907,3.5992002,-2.3030658
13295,0.8013777,2.1649923,2.0043685,-1.1079187
13297,0.76173496,1.6305928,1.9756018,-0.3314683
13299,0.29226398,3.688593,4.7175503,-3.0140042
13301,1.4248569,1.2768494,3.8608234,-2.044894
13305,0.20332511,2.2185931,2.582595,-1.8750688
13311,1.0242753,1.8651809,1.9868654,-0.9470264
13313,1.3255079,3.1587594,3.6746268,-2.2524843
13317,0.7113458,1.0413293,2.2158413,-1.2250766
13319,1.45773,2.3204195,4.1813197,-1.6763164
15001,1.968976,4.2544847,6.728874,-0.55953634
15003,0.5780387,5.0370846,6.4723988,-0.99155974
15007,2.91835,4.6252265,7.8220177,-1.1281763
15009,2.9134946,5.150543,8.956406,-0.90461636
16001,1.6101844,5.2622285,5.704207,-1.2991701
16005,1.8990722,4.4475636,4.895334,-2.2783456
16009,2.279082,3.1697655,4.9979844,-1.5164729
16011,1.4009618,3.1422799,3.1864827,-2.015396
16013,3.5347238,5.2755675,8.171561,-1.2513748
16017,1.7505715,3.1481605,4.5271254,-1.6485797
16019,1.7495563,3.8686762,3.9741552,-1.8262755
16021,2.6347947,3.8377357,5.1422634,-2.1724763
16027,1.1713214,3.3084457,3.243526,-1.3498288
16029,2.5901828,3.1380107,5.035217,-1.9782807
16031,1.8575408,3.8291624,4.1136622,-2.4817479
16035,3.0594149,3.8554409,7.386073,-1.434119
16037,4.715504,4.3028345,10.897461,-2.137641
16039,1.5416813,3.376489,3.5710263,-1.9038409
16047,1.7579339,2.7836583,3.0348582,-2.1465793
16049,3.1058488,4.4534736,7.35342,-1.5951577
16055,1.627228,4.0580826,4.6647987,-1.4730264
16057,2.3320174,4.3000765,5.6623826,-2.051035
16059,3.4192014,4.2302623,8.0352545,-2.7168145
16061,4.2765694,2.9601114,9.429545,-2.0246434
16063,1.5541289,0.3717237,2.2033143,-0.91707146
16069,2.7094417,5.3830633,7.5403876,-1.9838783
16073,1.523351,2.2767775,3.3238432,-1.2898234
