fips,state_abbr,min_wage_2023
51600,VA,12.0
51510,VA,12.0
51173,VA,12.0
51197,VA,12.0
51181,VA,12.0
51167,VA,12.0
51169,VA,12.0
51175,VA,12.0
51530,VA,12.0
51620,VA,12.0
51630,VA,12.0
51195,VA,12.0
51191,VA,12.0
51595,VA,12.0
51187,VA,12.0
51640,VA,12.0
51580,VA,12.0
51800,VA,12.0
51678,VA,12.0
51760,VA,12.0
51710,VA,12.0
51730,VA,12.0
51770,VA,12.0
51790,VA,12.0
51683,VA,12.0
51750,VA,12.0
51775,VA,12.0
51735,VA,12.0
51720,VA,12.0
53029,WA,15.74
53015,WA,15.74
53007,WA,15.74
53009,WA,15.74
53021,WA,15.74
53025,WA,15.74
51840,VA,12.0
53027,WA,15.74
53031,WA,15.74
51820,VA,12.0
53005,WA,15.74
53017,WA,15.74
51830,VA,12.0
53013,WA,15.74
53001,WA,15.74
53003,WA,15.74
53023,WA,15.74
53019,WA,15.74
53039,WA,15.74
53037,WA,15.74
53043,WA,15.74
53045,WA,15.74
53061,WA,15.74
53053,WA,15.74
53057,WA,15.74
53047,WA,15.74
53063,WA,15.74
53055,WA,15.74
53049,WA,15.74
53051,WA,15.74
53059,WA,15.74
53077,WA,15.74
54005,WV,8.75
53071,WA,15.74
53073,WA,15.74
53075,WA,15.74
54015,WV,8.75
53067,WA,15.74
54021,WV,8.75
53065,WA,15.74
53069,WA,15.74
54013,WV,8.75
55001,WI,7.25
54041,WV,8.75
55009,WI,7.25
54085,WV,8.75
54059,WV,8.75
55005,WI,7.25
54107,WV,8.75
54047,WV,8.75
54051,WV,8.75
54079,WV,8.75
55007,WI,7.25
54093,WV,8.75
54083,WV,8.75
54103,WV,8.75
54089,WV,8.75
55003,WI,7.25
54105,WV,8.75
54063,WV,8.75
54075,WV,8.75
54087,WV,8.75
55017,WI,7.25
55027,WI,7.25
55011,WI,7.25
55059,WI,7.25
55025,WI,7.25
55057,WI,7.25
55033,WI,7.25
55045,WI,7.25
55019,WI,7.25
55023,WI,7.25
55051,WI,7.25
55015,WI,7.25
55013,WI,7.25
55021,WI,7.25
55029,WI,7.25
55047,WI,7.25
55031,WI,7.25
55049,WI,7.25
55043,WI,7.25
55053,WI,7.25
55037,WI,7.25
55041,WI,7.25
55061,WI,7.25
55065,WI,7.25
55067,WI,7.25
55077,WI,7.25
55079,WI,7.25
55087,WI,7.25
55089,WI,7.25
55097,WI,7.25
55105,WI,7.25
55117,WI,7.25
55121,WI,7.25
55127,WI,7.25
55131,WI,7.25
55139,WI,7.25
56001,WY,5.15
56005,WY,5.15
56007,WY,5.15
56013,WY,5.15
56021,WY,5.15
56025,WY,5.15
56029,WY,5.15
56033,WY,5.15
56035,WY,5.15
56039,WY,5.15
56041,WY,5.15
55063,WI,7.25
55078,WI,7.25
55071,WI,7.25
55069,WI,7.25
55073,WI,7.25
55075,WI,7.25
55119,WI,7.25
55103,WI,7.25
55081,WI,7.25
55129,WI,7.25
55109,WI,7.25
55095,WI,7.25
55101,WI,7.25
55125,WI,7.25
55111,WI,7.25
55083,WI,7.25
55085,WI,7.25
55123,WI,7.25
55099,WI,7.25
55093,WI,7.25
55107,WI,7.25
55115,WI,7.25
55091,WI,7.25
55113,WI,7.25
55133,WI,7.25
55141,WI,7.25
56043,WY,5.15
56045,WY,5.15
56011,WY,5.15
56015,WY,5.15
56009,WY,5.15
56023,WY,5.15
55137,WI,7.25
55135,WI,7.25
56037,WY,5.15
56019,WY,5.15
56003,WY,5.15
56027,WY,5.15
56031,WY,5.15
56017,WY,5.15
